V1	V2	V3	V4
0.0368	0.0268	0.354632256	0.485517972
0.0351	0.0241	0.333972332	0.417909296
0.0259	0.0284	0.22024412	0.534859008
0.0344	0.0298	0.319429797	0.569640862
0.0235	0.0274	0.186622433	0.500948384
0.0363	0.0297	0.348431458	0.569676358
0.0341	0.0302	0.314823334	0.579197225
0.034	0.0216	0.316553112	0.370771671
0.0364	0.0241	0.350634021	0.420645835
0.0329	0.0278	0.302150729	0.515402598
0.0349	0.0219	0.329815572	0.378927409
0.029	0.0252	0.260965986	0.453579786
0.0304	0.0244	0.274216926	0.422892527
0.0258	0.0255	0.219020583	0.460571667
0.0302	0.0231	0.271697625	0.403129884
0.0369	0.0271	0.355485759	0.493501333
0.0246	0.0251	0.20924472	0.449497572
0.027	0.0303	0.235980883	0.581388422
0.0276	0.0209	0.240844105	0.349550171
0.0362	0.0272	0.346264183	0.497744198
0.0361	0.0298	0.343312028	0.568263093
0.036	0.0222	0.346031727	0.385112534
0.0386	0.027	0.376899989	0.496136839
0.0352	0.0284	0.330971428	0.534931474
0.0322	0.0268	0.294303945	0.483366897
0.0279	0.0258	0.247553786	0.470506015
0.0288	0.0253	0.259382958	0.456359218
0.0304	0.0256	0.273318086	0.462509117
0.0269	0.0262	0.235779603	0.476948993
0.0352	0.0269	0.332298198	0.485118169
0.0307	0.021	0.277221723	0.35528383
0.0332	0.0312	0.307001313	0.588341738
0.0345	0.0209	0.322843241	0.351951272
0.0285	0.0305	0.252447756	0.583035184
0.0382	0.0272	0.373698128	0.502151875
0.0332	0.0246	0.308491073	0.426647022
0.0314	0.0251	0.288770333	0.449198882
0.0285	0.0288	0.250687134	0.545345802
0.0306	0.0244	0.276426017	0.42301023
0.0242	0.0293	0.197630201	0.560082193
0.0343	0.0301	0.318318007	0.576065286
0.031	0.0246	0.280291851	0.425458651
0.0361	0.0258	0.345752198	0.472070175
0.035	0.0264	0.329471518	0.478607969
0.0332	0.0292	0.304315415	0.554456245
0.0229	0.0241	0.174859965	0.417614496
0.0285	0.021	0.252569508	0.354860262
0.0278	0.0222	0.244762163	0.384883813
0.0247	0.0293	0.208979536	0.556574703
0.0286	0.0261	0.252189429	0.474820874
0.032	0.0283	0.290935363	0.529450272
0.0285	0.0209	0.254240246	0.352691534
0.0312	0.0288	0.282848791	0.545624321
0.0277	0.0219	0.241025532	0.379589574
0.0296	0.0209	0.266581872	0.353180496
0.0342	0.0301	0.315979047	0.577144707
0.0321	0.028	0.292835566	0.527055611
0.0275	0.0305	0.23750146	0.584016127
0.0323	0.0261	0.29840182	0.473722692
0.0333	0.0303	0.306067129	0.581675562
0.0258	0.0221	0.218914246	0.382410703
0.0226	0.0252	0.171250574	0.452227576
0.0369	0.0294	0.355514183	0.563838653
0.0372	0.0241	0.360531192	0.42133812
0.0358	0.0276	0.341984671	0.50589973
0.0323	0.0256	0.297478244	0.466173996
0.0235	0.0278	0.182803188	0.518864682
0.0297	0.0305	0.268175473	0.584439491
0.0283	0.0302	0.24873376	0.577991442
0.0319	0.0312	0.291559942	0.588156976
0.0362	0.0272	0.348186867	0.497539845
0.028	0.0286	0.245397074	0.54004357
0.0302	0.0247	0.272001282	0.43500591
0.028	0.0289	0.246750847	0.551155515
0.0288	0.0253	0.258787866	0.456544205
0.0266	0.0258	0.23099508	0.470709563
0.0243	0.0258	0.205057485	0.471689477
0.0258	0.0252	0.219266852	0.452174129
0.0336	0.0238	0.311251995	0.413294561
0.0234	0.0279	0.182007446	0.525747015
0.0288	0.027	0.256136247	0.488378888
0.0278	0.0225	0.239239533	0.39910591
0.0366	0.0274	0.352071972	0.503285941
0.0344	0.0223	0.324574202	0.391926305
0.0219	0.0246	0.163465468	0.425909471
0.0321	0.0255	0.294394929	0.459269944
0.0388	0.0277	0.378234172	0.524924512
0.0316	0.0223	0.290117966	0.394301181
0.0368	0.0298	0.353919977	0.573056816
0.0369	0.0218	0.357378169	0.380441793
0.0259	0.0258	0.226748142	0.47188493
0.0244	0.0278	0.204246099	0.516135316
0.038	0.0227	0.372729251	0.401557805
0.0295	0.0247	0.264979112	0.431261953
0.0359	0.0298	0.34160222	0.567724161
0.0299	0.0219	0.268572321	0.375588136
0.0288	0.0219	0.259336174	0.372595121
0.0263	0.0224	0.229244117	0.397462745
0.0296	0.0246	0.267788053	0.427298249
0.0267	0.0251	0.231043402	0.450675545
0.0371	0.0295	0.358374331	0.565115859
0.0243	0.0262	0.20566128	0.476807216
0.0351	0.0228	0.334036404	0.400905329
0.0365	0.0277	0.352072249	0.517707209
0.0224	0.0248	0.170040221	0.440551019
0.0332	0.0299	0.304413459	0.572966554
0.0286	0.0276	0.251356843	0.509234438
0.0299	0.0278	0.268183373	0.517567868
0.0363	0.0287	0.347270635	0.542097926
0.028	0.0288	0.246109288	0.546507121
0.0298	0.0223	0.268337037	0.392171097
0.0236	0.0276	0.190010779	0.510556301
0.0388	0.0246	0.380753927	0.441236239
0.0235	0.0276	0.183613895	0.507765101
0.0306	0.0293	0.275872269	0.558810427
0.0252	0.0247	0.213937775	0.432745992
0.026	0.0278	0.227467981	0.516216645
0.022	0.0279	0.168553537	0.523437016
0.0287	0.0224	0.255591622	0.396767563
